#EventID,Time,latitude,longitude,depth,Author,Catalog,Contributor,ContributorID,MagType,mag,MagAuthor,EventLocationName
20200702_0000030,2020-07-02T03:53:12.0Z,37.34,36.08,7.0,DDA,EMSC-RTS,DDA,873138,ml,2.5,DDA,CENTRAL TURKEY
20200626_0000070,2020-06-26T08:50:31.3Z,37.36,35.9,15.0,DDA,EMSC-RTS,DDA,871315,ml,2.0,DDA,CENTRAL TURKEY
20200625_0000229,2020-06-25T19:54:52.8Z,37.37,35.93,7.0,DDA,EMSC-RTS,DDA,871166,ml,2.0,DDA,CENTRAL TURKEY
20200625_0000109,2020-06-25T11:55:39.7Z,37.44,35.87,7.0,EMSC,EMSC-RTS,EMSC,871026,ml,2.8,EMSC,CENTRAL TURKEY
20200624_0000098,2020-06-24T11:52:33.6Z,37.08,37.53,7.0,DDA,EMSC-RTS,DDA,870712,ml,2.0,DDA,CENTRAL TURKEY
20200622_0000096,2020-06-22T10:45:08.9Z,37.44,35.9,7.0,DDA,EMSC-RTS,DDA,870031,ml,2.3,DDA,CENTRAL TURKEY
20200622_0000018,2020-06-22T02:35:54.8Z,38.91,35.66,3.0,EMSC,EMSC-RTS,EMSC,869924,ml,2.4,EMSC,CENTRAL TURKEY
20200621_0000251,2020-06-21T22:17:30.8Z,37.51,36.01,7.0,DDA,EMSC-RTS,DDA,869919,ml,2.1,DDA,CENTRAL TURKEY
20200621_0000095,2020-06-21T11:57:06.0Z,37.12,34.61,10.0,DDA,EMSC-RTS,DDA,869723,ml,2.3,DDA,CENTRAL TURKEY
20200621_0000028,2020-06-21T03:04:49.0Z,37.47,35.99,7.0,DDA,EMSC-RTS,DDA,869642,ml,2.4,DDA,CENTRAL TURKEY
20200618_0000116,2020-06-18T12:56:15.7Z,35.88,37.03,7.0,DDA,EMSC-RTS,DDA,868843,ml,2.2,DDA,SYRIA
20200618_0000070,2020-06-18T09:08:54.1Z,36.04,35.84,7.0,DDA,EMSC-RTS,DDA,868793,ml,2.9,DDA,CENTRAL TURKEY
20200617_0000102,2020-06-17T12:24:30.7Z,36.16,35.71,8.0,DDA,EMSC-RTS,DDA,868571,mw,3.2,DDA,CENTRAL TURKEY
20200616_0000117,2020-06-16T13:16:22.4Z,37.81,37.47,7.0,DDA,EMSC-RTS,DDA,868263,ml,2.5,DDA,CENTRAL TURKEY
20200616_0000058,2020-06-16T07:53:17.8Z,37.48,36.01,2.0,EMSC,EMSC-RTS,EMSC,868190,ml,2.3,EMSC,CENTRAL TURKEY
20200616_0000050,2020-06-16T07:06:15.2Z,36.61,36.42,7.0,DDA,EMSC-RTS,DDA,868181,ml,2.0,DDA,TURKEY-SYRIA BORDER REGION
20200616_0000048,2020-06-16T05:58:08.3Z,38.74,38.14,7.0,DDA,EMSC-RTS,DDA,868179,ml,2.0,DDA,EASTERN TURKEY
20200616_0000018,2020-06-16T03:17:54.7Z,36.63,36.47,5.0,EMSC,EMSC-RTS,EMSC,868136,ml,2.4,EMSC,TURKEY-SYRIA BORDER REGION
20200615_0000245,2020-06-15T21:48:27.0Z,38.04,37.93,7.0,DDA,EMSC-RTS,DDA,868070,ml,2.5,DDA,CENTRAL TURKEY
20200615_0000235,2020-06-15T21:23:08.7Z,38.55,36.38,5.0,EMSC,EMSC-RTS,EMSC,868055,ml,2.9,EMSC,CENTRAL TURKEY
20200614_0000106,2020-06-14T14:57:20.8Z,37.16,34.63,19.0,EMSC,EMSC-RTS,EMSC,867620,ml,3.1,EMSC,CENTRAL TURKEY
20200614_0000039,2020-06-14T07:36:50.6Z,38.7,38.12,7.0,DDA,EMSC-RTS,DDA,867543,ml,2.1,DDA,EASTERN TURKEY
20200613_0000088,2020-06-13T11:55:58.6Z,37.25,36.03,33.0,EMSC,EMSC-RTS,EMSC,867352,ml,2.5,EMSC,CENTRAL TURKEY
20200613_0000053,2020-06-13T09:37:34.5Z,37.8,34.57,6.0,EMSC,EMSC-RTS,EMSC,867308,ml,2.4,EMSC,CENTRAL TURKEY
20200612_0000043,2020-06-12T07:25:06.8Z,37.49,36.23,15.0,DDA,EMSC-RTS,DDA,867049,ml,2.0,DDA,CENTRAL TURKEY
20200612_0000015,2020-06-12T01:41:21.3Z,37.38,35.26,5.0,DDA,EMSC-RTS,DDA,867005,ml,2.0,DDA,CENTRAL TURKEY
20200611_0000172,2020-06-11T14:49:22.5Z,37.48,35.99,7.0,DDA,EMSC-RTS,DDA,866873,ml,2.1,DDA,CENTRAL TURKEY
20200611_0000089,2020-06-11T09:22:57.1Z,37.38,36.3,8.0,EMSC,EMSC-RTS,EMSC,866776,ml,2.5,EMSC,CENTRAL TURKEY
20200611_0000088,2020-06-11T09:18:55.5Z,37.35,36.33,6.0,DDA,EMSC-RTS,DDA,866775,ml,2.2,DDA,CENTRAL TURKEY
20200609_0000195,2020-06-09T22:56:24.6Z,37.44,36.03,7.0,DDA,EMSC-RTS,DDA,866393,ml,2.0,DDA,CENTRAL TURKEY
20200608_0000131,2020-06-08T15:36:59.0Z,37.53,35.56,7.0,DDA,EMSC-RTS,DDA,866034,ml,2.2,DDA,CENTRAL TURKEY
20200608_0000087,2020-06-08T11:35:46.0Z,38.02,38.22,7.0,DDA,EMSC-RTS,DDA,865974,ml,2.0,DDA,EASTERN TURKEY
20200607_0000035,2020-06-07T04:12:47.4Z,37.38,35.23,7.0,EMSC,EMSC-RTS,EMSC,865648,ml,2.6,EMSC,CENTRAL TURKEY
20200606_0000169,2020-06-06T20:32:35.4Z,37.23,36.89,7.0,EMSC,EMSC-RTS,EMSC,865552,ml,2.7,EMSC,CENTRAL TURKEY
20200606_0000166,2020-06-06T19:08:08.5Z,37.42,35.91,14.0,DDA,EMSC-RTS,DDA,865544,ml,2.1,DDA,CENTRAL TURKEY
20200605_0000130,2020-06-05T16:04:08.4Z,37.36,35.22,7.0,DDA,EMSC-RTS,DDA,865211,ml,2.0,DDA,CENTRAL TURKEY
20200605_0000097,2020-06-05T13:58:42.2Z,37.37,35.26,7.0,EMSC,EMSC-RTS,EMSC,865158,ml,2.6,EMSC,CENTRAL TURKEY
20200604_0000235,2020-06-04T23:02:35.6Z,38.65,38.1,7.0,DDA,EMSC-RTS,DDA,864991,ml,2.2,DDA,EASTERN TURKEY
20200604_0000213,2020-06-04T20:10:56.9Z,36.87,36.13,5.0,DDA,EMSC-RTS,DDA,864964,ml,2.1,DDA,TURKEY-SYRIA BORDER REGION
20200604_0000195,2020-06-04T18:25:53.7Z,36.82,36.32,7.0,DDA,EMSC-RTS,DDA,864944,ml,2.0,DDA,TURKEY-SYRIA BORDER REGION
20200604_0000192,2020-06-04T18:15:12.3Z,36.81,36.23,4.0,EMSC,EMSC-RTS,EMSC,864939,ml,3.4,EMSC,TURKEY-SYRIA BORDER REGION
20200602_0000211,2020-06-02T23:22:13.3Z,37.34,36.03,15.0,EMSC,EMSC-RTS,EMSC,864343,ml,4.0,EMSC,CENTRAL TURKEY
20200602_0000100,2020-06-02T10:54:49.0Z,37.37,35.27,10.0,DDA,EMSC-RTS,DDA,864198,ml,2.2,DDA,CENTRAL TURKEY
20200602_0000079,2020-06-02T08:09:16.3Z,38.03,38.23,7.0,DDA,EMSC-RTS,DDA,864158,ml,2.5,DDA,EASTERN TURKEY
20200601_0000075,2020-06-01T09:09:19.4Z,38.72,38.1,7.0,DDA,EMSC-RTS,DDA,863821,ml,2.3,DDA,EASTERN TURKEY
20200601_0000058,2020-06-01T07:34:30.7Z,37.31,36.6,29.0,DDA,EMSC-RTS,DDA,863796,ml,2.4,DDA,CENTRAL TURKEY
20200530_0000077,2020-05-30T08:39:26.2Z,37.36,35.25,7.0,EMSC,EMSC-RTS,EMSC,863130,ml,3.2,EMSC,CENTRAL TURKEY
20200529_0000180,2020-05-29T19:08:52.8Z,37.42,35.28,19.0,EMSC,EMSC-RTS,EMSC,862927,ml,2.7,EMSC,CENTRAL TURKEY
20200529_0000139,2020-05-29T14:02:38.3Z,37.36,35.22,6.0,DDA,EMSC-RTS,DDA,862853,ml,2.2,DDA,CENTRAL TURKEY
20200529_0000044,2020-05-29T04:18:32.7Z,35.95,35.28,32.0,DDA,EMSC-RTS,DDA,862713,ml,2.1,DDA,NEAR THE COAST OF SYRIA
20200528_0000204,2020-05-28T23:26:55.3Z,38.69,38.08,7.0,DDA,EMSC-RTS,DDA,862632,ml,2.1,DDA,EASTERN TURKEY
20200527_0000177,2020-05-27T15:54:44.9Z,37.38,35.27,7.0,DDA,EMSC-RTS,DDA,862231,ml,2.8,DDA,CENTRAL TURKEY
20200527_0000030,2020-05-27T02:58:36.0Z,35.89,35.53,15.0,EMSC,EMSC-RTS,EMSC,862001,ml,2.7,EMSC,NEAR THE COAST OF SYRIA
20200525_0000038,2020-05-25T04:41:44.9Z,36.1,35.89,10.0,EMSC,EMSC-RTS,EMSC,861301,ml,2.5,EMSC,CENTRAL TURKEY
20200524_0000232,2020-05-24T22:38:03.7Z,37.49,36.02,5.0,EMSC,EMSC-RTS,EMSC,861219,ml,2.8,EMSC,CENTRAL TURKEY
20200524_0000223,2020-05-24T21:49:51.4Z,37.34,35.27,6.0,EMSC,EMSC-RTS,EMSC,861204,ml,2.9,EMSC,CENTRAL TURKEY
20200524_0000215,2020-05-24T21:42:40.7Z,37.46,35.97,7.0,DDA,EMSC-RTS,DDA,861194,ml,2.1,DDA,CENTRAL TURKEY
20200524_0000188,2020-05-24T19:07:05.4Z,37.41,35.92,7.0,DDA,EMSC-RTS,DDA,861160,ml,2.0,DDA,CENTRAL TURKEY
20200523_0000225,2020-05-23T23:14:51.9Z,38.72,38.13,5.0,EMSC,EMSC-RTS,EMSC,860901,ml,3.0,EMSC,EASTERN TURKEY
20200522_0000058,2020-05-22T05:45:43.5Z,37.36,35.25,9.0,EMSC,EMSC-RTS,EMSC,860296,ml,3.1,EMSC,CENTRAL TURKEY
20200521_0000045,2020-05-21T04:46:25.7Z,36.91,35.27,41.0,DDA,EMSC-RTS,DDA,859925,ml,2.1,DDA,CENTRAL TURKEY
20200518_0000123,2020-05-18T08:12:42.4Z,38.71,38.12,7.0,DDA,EMSC-RTS,DDA,858740,ml,2.0,DDA,EASTERN TURKEY
20200518_0000097,2020-05-18T06:31:02.8Z,37.23,35.89,7.0,EMSC,EMSC-RTS,EMSC,858708,ml,3.0,EMSC,CENTRAL TURKEY
20200517_0000250,2020-05-17T17:19:33.3Z,37.53,35.98,7.0,DDA,EMSC-RTS,DDA,858483,ml,2.2,DDA,CENTRAL TURKEY
20200517_0000127,2020-05-17T09:14:01.5Z,37.67,37.21,7.0,EMSC,EMSC-RTS,EMSC,858292,ml,2.4,EMSC,CENTRAL TURKEY
20200515_0000090,2020-05-15T11:59:59.1Z,35.95,35.83,4.0,DDA,EMSC-RTS,DDA,857299,ml,2.2,DDA,NEAR THE COAST OF SYRIA
20200515_0000083,2020-05-15T11:28:38.2Z,37.69,37.4,5.0,EMSC,EMSC-RTS,EMSC,857288,ml,2.8,EMSC,CENTRAL TURKEY
20200513_0000026,2020-05-13T03:32:50.8Z,37.52,35.98,7.0,DDA,EMSC-RTS,DDA,856505,ml,2.0,DDA,CENTRAL TURKEY
20200512_0000175,2020-05-12T17:23:23.9Z,35.77,35.63,80.0,EMSC,EMSC-RTS,EMSC,856378,ml,2.4,EMSC,NEAR THE COAST OF SYRIA
20200511_0000055,2020-05-11T10:05:19.1Z,36.16,35.95,8.0,EMSC,EMSC-RTS,EMSC,855910,ml,2.8,EMSC,CENTRAL TURKEY
20200510_0000119,2020-05-10T17:18:05.7Z,36.09,35.92,10.0,EMSC,EMSC-RTS,EMSC,855705,ml,2.7,EMSC,CENTRAL TURKEY
20200508_0000161,2020-05-08T20:07:33.2Z,36.98,34.54,7.0,DDA,EMSC-RTS,DDA,855240,ml,2.0,DDA,CENTRAL TURKEY
20200507_0000162,2020-05-07T22:03:49.5Z,37.51,35.99,7.0,DDA,EMSC-RTS,DDA,854964,ml,2.3,DDA,CENTRAL TURKEY
20200507_0000148,2020-05-07T18:56:02.5Z,37.48,35.96,7.0,DDA,EMSC-RTS,DDA,854946,ml,2.0,DDA,CENTRAL TURKEY
20200507_0000092,2020-05-07T13:03:22.8Z,37.71,35.57,11.0,EMSC,EMSC-RTS,EMSC,854854,ml,2.4,EMSC,CENTRAL TURKEY
20200507_0000018,2020-05-07T01:56:01.2Z,37.48,36.01,21.0,DDA,EMSC-RTS,DDA,854738,ml,2.4,DDA,CENTRAL TURKEY
20200506_0000156,2020-05-06T18:54:48.6Z,37.49,36.02,7.0,DDA,EMSC-RTS,DDA,854643,ml,2.3,DDA,CENTRAL TURKEY
20200505_0000046,2020-05-05T07:03:45.7Z,37.41,35.95,8.0,EMSC,EMSC-RTS,EMSC,854160,ml,2.9,EMSC,CENTRAL TURKEY
20200504_0000039,2020-05-04T06:05:58.2Z,37.47,35.96,10.0,EMSC,EMSC-RTS,EMSC,853840,ml,2.7,EMSC,CENTRAL TURKEY
20200504_0000028,2020-05-04T03:24:35.3Z,37.48,36.02,7.0,DDA,EMSC-RTS,DDA,853826,ml,2.0,DDA,CENTRAL TURKEY
20200504_0000024,2020-05-04T01:17:19.7Z,37.51,35.98,7.0,DDA,EMSC-RTS,DDA,853820,ml,2.0,DDA,CENTRAL TURKEY
20200503_0000181,2020-05-03T23:10:26.2Z,37.46,36.03,7.0,DDA,EMSC-RTS,DDA,853775,ml,2.0,DDA,CENTRAL TURKEY
20200503_0000170,2020-05-03T22:00:45.9Z,37.48,35.98,8.0,EMSC,EMSC-RTS,EMSC,853757,ml,2.7,EMSC,CENTRAL TURKEY
20200503_0000159,2020-05-03T20:14:18.7Z,37.47,35.97,8.0,EMSC,EMSC-RTS,EMSC,853742,ml,2.5,EMSC,CENTRAL TURKEY
20200503_0000150,2020-05-03T17:56:51.7Z,37.42,35.95,7.0,DDA,EMSC-RTS,DDA,853729,ml,2.0,DDA,CENTRAL TURKEY
20200503_0000104,2020-05-03T12:58:03.2Z,37.07,35.79,7.0,DDA,EMSC-RTS,DDA,853660,ml,2.1,DDA,CENTRAL TURKEY
20200503_0000028,2020-05-03T04:51:30.8Z,35.91,35.61,8.0,DDA,EMSC-RTS,DDA,853552,ml,2.0,DDA,NEAR THE COAST OF SYRIA
20200503_0000016,2020-05-03T02:26:34.0Z,35.85,35.52,20.0,EMSC,EMSC-RTS,EMSC,853531,ml,2.5,EMSC,NEAR THE COAST OF SYRIA
20200502_0000173,2020-05-02T16:51:22.7Z,37.43,37.15,2.0,DDA,EMSC-RTS,DDA,853397,ml,2.0,DDA,CENTRAL TURKEY
20200502_0000135,2020-05-02T13:52:25.9Z,36.83,36.31,15.0,DDA,EMSC-RTS,DDA,853351,ml,2.7,DDA,TURKEY-SYRIA BORDER REGION
20200502_0000055,2020-05-02T07:30:43.9Z,37.07,34.53,7.0,DDA,EMSC-RTS,DDA,853231,ml,2.0,DDA,CENTRAL TURKEY
20200501_0000144,2020-05-01T17:33:46.9Z,36.78,36.22,7.0,DDA,EMSC-RTS,DDA,853083,ml,2.0,DDA,TURKEY-SYRIA BORDER REGION
20200501_0000106,2020-05-01T14:16:33.7Z,37.7,35.58,7.0,DDA,EMSC-RTS,DDA,853033,ml,2.4,DDA,CENTRAL TURKEY
20200501_0000051,2020-05-01T08:44:30.3Z,38.71,38.08,7.0,DDA,EMSC-RTS,DDA,852965,ml,2.4,DDA,EASTERN TURKEY
20200429_0000112,2020-04-29T13:04:52.0Z,36.99,34.54,7.0,DDA,EMSC-RTS,DDA,852413,ml,2.1,DDA,CENTRAL TURKEY
20200429_0000055,2020-04-29T09:00:33.0Z,35.86,35.52,80.0,EMSC,EMSC-RTS,EMSC,852345,ml,2.4,EMSC,NEAR THE COAST OF SYRIA
20200429_0000009,2020-04-29T01:35:28.6Z,38.03,37.94,12.0,EMSC,EMSC-RTS,EMSC,852279,ml,2.7,EMSC,CENTRAL TURKEY
20200428_0000032,2020-04-28T04:32:23.8Z,38.01,37.97,5.0,EMSC,EMSC-RTS,EMSC,851976,ml,2.8,EMSC,CENTRAL TURKEY
20200427_0000080,2020-04-27T13:05:09.3Z,35.82,35.52,10.0,EMSC,EMSC-RTS,EMSC,851795,ml,2.6,EMSC,NEAR THE COAST OF SYRIA
20200427_0000048,2020-04-27T10:25:50.5Z,38.14,37.87,3.0,EMSC,EMSC-RTS,EMSC,851749,ml,2.8,EMSC,CENTRAL TURKEY
20200427_0000004,2020-04-27T00:51:40.1Z,35.82,35.63,10.0,EMSC,EMSC-RTS,EMSC,851666,ml,2.8,EMSC,NEAR THE COAST OF SYRIA
20200424_0000140,2020-04-24T16:41:27.2Z,36.93,35.95,7.0,DDA,EMSC-RTS,DDA,851049,ml,2.0,DDA,CENTRAL TURKEY
20200424_0000138,2020-04-24T16:21:59.9Z,36.97,36.09,7.0,DDA,EMSC-RTS,DDA,851046,ml,2.0,DDA,TURKEY-SYRIA BORDER REGION
